comparison,metric_label,block_length,observed_difference,ci95_lower,ci95_upper,result,bootstrap_replications,ci_type,strategy_name,comparator_name,metric,source_file
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Max-drawdown improvement,10,-8e-06,-0.000121,3.3e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Total return,20,-0.000232,-0.000604,5e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sharpe,20,-0.001104,-0.003058,0.000643,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sortino,20,-0.001803,-0.005317,0.000716,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Max-drawdown improvement,20,-8e-06,-0.000145,2.8e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Total return,40,-0.000232,-0.000625,5.2e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sharpe,40,-0.001104,-0.002973,0.000713,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sortino,40,-0.001803,-0.004767,0.000817,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Max-drawdown improvement,40,-8e-06,-0.000116,2.7e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Total return,60,-0.000232,-0.00064,2.9e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_total_return,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sharpe,60,-0.001104,-0.002832,0.000699,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sharpe,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Sortino,60,-0.001803,-0.004644,0.001154,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,diff_sortino,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
Original dynamic AURORA vs exposure-matched constant-lambda AURORA,Max-drawdown improvement,60,-8e-06,-0.00011,2.3e-05,Not significant,5000,percentile,Original dynamic AURORA,Exposure-matched constant-lambda AURORA,drawdown_improvement,/content/drive/MyDrive/AURORA_TWETF/outputs/AURORA_TWETF/aurora_exposure_matched_lambda_reduced_universe/run_20260717_082548/returns/all_notebook18_returns.csv
