date,strategy_name,optimization_status,risk_aversion,expected_class,p_bearish,p_bullish,normalized_entropy,confidence_score,ordinal_variance,risk_aversion_mode,constant_lambda,asset_universe,estimated_portfolio_mu,estimated_portfolio_vol_daily,strategy_control,policy_name,analysis_group
2024-12-16,AURORA18_DYNAMIC_ORIGINAL,optimized,33.62462198353035,2.3717545646610008,0.1699523111390763,0.4954784952689826,0.8090230304299529,0.190976969570047,0.8362138720841967,dynamic,,"0050,006208,00692,00881",0.0003555570427183,0.0110107408495896,Original dynamic AURORA,AURORA18_DYNAMIC_ORIGINAL,constant_lambda_exposure_match
2024-12-16,AURORA18_REDUCED_REMOVE_006208,optimized,33.62462198353035,2.3717545646610008,0.1699523111390763,0.4954784952689826,0.8090230304299529,0.190976969570047,0.8362138720841967,dynamic,,"0050,00692,00881",0.0003566228576307,0.0113161430856733,Reduced-universe: Remove 006208,AURORA18_REDUCED_REMOVE_006208,reduced_universe_sensitivity
2024-12-16,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34,optimized,34.0,2.0,0.4,0.4,1.0000000000000002,-2.220446049250313e-16,2.0,constant_lambda,34.0,"0050,006208,00692,00881",0.0003554195346483,0.0110218391290419,Exposure-matched constant-lambda no-probability AURORA,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34_0,constant_lambda_exposure_match
2024-12-17,AURORA18_DYNAMIC_ORIGINAL,static_baseline,,2.321491470193752,0.1722629695796367,0.4625634632324814,0.8075126906737483,0.1924873093262517,0.8262698397274564,dynamic,,"0050,006208,00692,00881",0.0003898640740939,0.0106816718547218,Static exposure-matched cash baseline,AURORA18_STATIC_EXPOSURE_MATCHED_CASH,constant_lambda_exposure_match
2024-12-17,AURORA18_REDUCED_SYNTH_TW50,optimized,33.63307665843644,2.321491470193752,0.1722629695796367,0.4625634632324814,0.8075126906737483,0.1924873093262517,0.8262698397274564,dynamic,,"TW50_SYN,00692,00881",0.0003962384917391,0.0109824870413236,Reduced-universe: Synthetic Taiwan 50 sleeve,AURORA18_REDUCED_SYNTH_TW50,reduced_universe_sensitivity
2024-12-17,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34,optimized,34.0,2.0,0.4,0.4,1.0000000000000002,-2.220446049250313e-16,2.0,constant_lambda,34.0,"0050,006208,00692,00881",0.0003897005570406,0.0106888211067155,Exposure-matched constant-lambda no-probability AURORA,AURORA18_Exposure_matched_constant_lambda_no_probability_AURORA_34_0,constant_lambda_exposure_match
2024-12-17,AURORA18_REDUCED_REMOVE_006208,optimized,33.63307665843644,2.321491470193752,0.1722629695796367,0.4625634632324814,0.8075126906737483,0.1924873093262517,0.8262698397274564,dynamic,,"0050,00692,00881",0.0003915062847573,0.0109932262593735,Reduced-universe: Remove 006208,AURORA18_REDUCED_REMOVE_006208,reduced_universe_sensitivity
2024-12-17,AURORA18_DYNAMIC_ORIGINAL,optimized,33.63307665843644,2.321491470193752,0.1722629695796367,0.4625634632324814,0.8075126906737483,0.1924873093262517,0.8262698397274564,dynamic,,"0050,006208,00692,00881",0.0003898640740939,0.0106816718547218,Original dynamic AURORA,AURORA18_DYNAMIC_ORIGINAL,constant_lambda_exposure_match
2024-12-17,AURORA18_REDUCED_FULL,optimized,33.63307665843644,2.321491470193752,0.1722629695796367,0.4625634632324814,0.8075126906737483,0.1924873093262517,0.8262698397274564,dynamic,,"0050,006208,00692,00881",0.0003898640740939,0.0106816718547218,Reduced-universe: Full universe,AURORA18_REDUCED_FULL,reduced_universe_sensitivity
2024-12-17,AURORA18_REDUCED_REMOVE_0050,optimized,33.63307665843644,2.321491470193752,0.1722629695796367,0.4625634632324814,0.8075126906737483,0.1924873093262517,0.8262698397274564,dynamic,,"006208,00692,00881",0.0004008311912848,0.0109618836531032,Reduced-universe: Remove 0050,AURORA18_REDUCED_REMOVE_0050,reduced_universe_sensitivity
2024-12-17,AURORA18_Exposure_matched_constant_lambda_AURORA_34,optimized,34.0,2.321491470193752,0.1722629695796367,0.4625634632324814,0.8075126906737483,0.1924873093262517,0.8262698397274564,constant_lambda,34.0,"0050,006208,00692,00881",0.0003901353885116,0.0106891279103829,Exposure-matched constant-lambda AURORA,AURORA18_Exposure_matched_constant_lambda_AURORA_34_0,constant_lambda_exposure_match
