n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe,sortino,max_drawdown,calmar,avg_daily_return,daily_volatility,hit_rate,final_equity,policy_name,control_type,kappa,shuffle_id,probability_order,weighted_brier,avg_entropy,avg_bearish_probability,avg_dynamic_lambda,avg_cash,cash_cap_binding_frequency,avg_equity_exposure,total_turnover,rebalance_count,brier_20d,brier_60d,hard_accuracy_20d,hard_accuracy_60d,median_dynamic_lambda
319,2024-11-27,2026-03-25,0.2433169496900125,0.1877271934689606,0.10131071019293728,1.7493207957947294,2.25448878077548,-0.11693948464088444,1.6053362475938886,0.000703273540385866,0.00638197486471068,0.5642633228840125,1.2433169496900125,oracle_shuffled_kappa_0_5_seed_0,shuffled_oracle_probability,0.5,0.0,shuffled,0.780614060194381,0.8178283970293968,0.19904293972747547,34.42656872028443,0.5843795882700382,0.23510971786833856,0.4156204117299617,0.3157367513315974,17,0.904220845633361,0.7276397235776751,0.2852664576802508,0.48589341692789967,32.97529768552339
319,2024-11-27,2026-03-25,0.2428927364391582,0.18740705011056047,0.10132595881642219,1.746410740541268,2.2495953352907905,-0.11693809454283977,1.6026176144156745,0.0007022092967168329,0.006382935437700612,0.5642633228840125,1.2428927364391582,oracle_shuffled_kappa_0_5_seed_1,shuffled_oracle_probability,0.5,1.0,shuffled,0.7705827122319986,0.8184870289910283,0.19904293972747547,34.44303451932522,0.5845315231690257,0.23510971786833856,0.4154684768309744,0.31298243982461893,17,0.885412068203894,0.7213701311011863,0.30407523510971785,0.49216300940438873,32.97529768552339
319,2024-11-27,2026-03-25,0.24266878150274085,0.18723802754517394,0.1013226415876792,1.7450585908144194,2.247183230924773,-0.11693939603753245,1.601154391844804,0.0007016426434388489,0.006382726471931663,0.5642633228840125,1.2426687815027408,oracle_shuffled_kappa_0_5_seed_2,shuffled_oracle_probability,0.5,2.0,shuffled,0.7470717404451647,0.8175174353824877,0.1990429397274755,34.4187946791117,0.5848812037477384,0.2445141065830721,0.4151187962522616,0.3112720415410746,17,0.8948164569186274,0.6837525762422522,0.2946708463949843,0.5297805642633229,32.97529768552339
319,2024-11-27,2026-03-25,0.24397798742702803,0.18822601674755846,0.1015387822357418,1.749756983851268,2.255322725963797,-0.11696444569668851,1.6092584000753958,0.0007050325132886598,0.006396342052955138,0.5642633228840125,1.243977987427028,oracle_shuffled_kappa_0_5_seed_3,shuffled_oracle_probability,0.5,3.0,shuffled,0.7351595147398355,0.8162513377275898,0.1990429397274755,34.387142237739255,0.5836367722881727,0.22884012539184953,0.4163632277118274,0.30869950553962056,17,0.8477945133449597,0.6868873724804966,0.34169278996865204,0.5266457680250783,32.97529768552339
319,2024-11-27,2026-03-25,0.24171821360170842,0.18652054670204676,0.1010796414407005,1.7430266675422692,2.243525778316811,-0.11695361531665605,1.5948249756712163,0.0006991448832410779,0.006367418901516001,0.5642633228840125,1.2417182136017084,oracle_shuffled_kappa_0_5_seed_4,shuffled_oracle_probability,0.5,4.0,shuffled,0.7583570069028449,0.8162548795701672,0.19904293972747553,34.387230783803695,0.5856655605986337,0.23824451410658307,0.4143344394013663,0.3163495262743582,17,0.9104904381098501,0.6931569649569858,0.27899686520376177,0.5203761755485894,32.97529768552339
319,2024-11-27,2026-03-25,0.2506644075572919,0.19326850852643895,0.10291506824158286,1.7688966271315254,2.2873786640165648,-0.11691310372069752,1.6530953535213007,0.0007224052265616932,0.00648303992210642,0.5642633228840125,1.250664407557292,oracle_ordered_kappa_0_75,ordered_oracle_probability,0.75,,ordered,0.0515798473369965,0.6306404012420702,0.1854148867916374,29.474307766884504,0.5778572900665584,0.22884012539184953,0.42214270993344155,0.2759018572909404,17,0.04737182582840296,0.053383285126393745,1.0,1.0,27.993854386334522
319,2024-11-27,2026-03-25,0.24645598098424126,0.19009543124172734,0.10207061246699581,1.7565809631717755,2.2673530262476946,-0.1170038321699366,1.6246940610084666,0.0007114892649159067,0.006429844208469521,0.5642633228840125,1.2464559809842413,oracle_shuffled_kappa_0_75_seed_0,shuffled_oracle_probability,0.75,0.0,shuffled,0.8871597846410717,0.6487665476273281,0.18541488679163742,29.927461426515954,0.5812959018938163,0.21003134796238246,0.41870409810618364,0.2987193024301605,17,1.077152390091726,0.8057343823050771,0.31347962382445144,0.49843260188087773,27.993854386334522
319,2024-11-27,2026-03-25,0.24602977985906227,0.18977395795660734,0.10209263668318089,1.7535762499123073,2.2615054992929076,-0.11698338709080414,1.622229982188002,0.0007104254880101269,0.0064312316036801605,0.5642633228840125,1.2460297798590623,oracle_shuffled_kappa_0_75_seed_1,shuffled_oracle_probability,0.75,1.0,shuffled,0.8956237344843319,0.6437622095911719,0.18541488679163742,29.802352975612052,0.581712592127451,0.21316614420062696,0.4182874078725491,0.29032141265846023,17,1.072450195734359,0.8198409653771774,0.3166144200626959,0.4890282131661442,27.993854386334522
319,2024-11-27,2026-03-25,0.2502578795195525,0.1929620917236592,0.1028502073122965,1.767448594764868,2.285393979204515,-0.1169150276887807,1.6504472995320176,0.0007213589459737847,0.006478954067613652,0.5642633228840125,1.2502578795195525,oracle_shuffled_kappa_0_75_seed_2,shuffled_oracle_probability,0.75,2.0,shuffled,0.8998557094059619,0.6523533362531714,0.18541488679163742,30.01713114216204,0.5781056154785882,0.23197492163009403,0.421894384521412,0.28094172538121287,17,1.119472139308027,0.8057343823050771,0.2852664576802508,0.49843260188087773,27.993854386334522
319,2024-11-27,2026-03-25,0.2487079766942597,0.19179367454426344,0.10272392693245662,1.759949992958646,2.272688908781566,-0.11696773565787655,1.6397143491368267,0.0007174165654026249,0.0064709991514107215,0.5642633228840125,1.2487079766942597,oracle_shuffled_kappa_0_75_seed_3,shuffled_oracle_probability,0.75,3.0,shuffled,0.8993854899702254,0.6491158577342697,0.18541488679163745,29.936194179189496,0.5792124457373314,0.219435736677116,0.42078755426266856,0.282028470244556,17,1.095961167521193,0.8151387710198107,0.30094043887147337,0.49216300940438873,27.993854386334522
