date,policy_name,mode,lambda_value,is_rebalance,turnover,transaction_cost,cash_weight,at_cash_cap,avg_equity_exposure,expected_class,normalized_entropy,p_bearish,solver_success,fallback_used,message,objective_value,equality_residual,max_bound_violation
2025-09-30,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.025240314585999443,2.5240314585999444e-05,0.5928128058267534,0.0,0.40718719417324656,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0014228333271658696,0.0,0.0
2025-10-31,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.00534333343114439,5.3433334311443895e-06,0.5666841271791528,0.0,0.43331587282084716,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-1.828580372445256e-05,0.0,0.0
2025-11-28,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.008298394023941627,8.298394023941627e-06,0.5800361996496055,0.0,0.4199638003503946,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.00030837699403783497,0.0,0.0
2025-12-31,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.00999113379196448,9.99113379196448e-06,0.5730906656716285,0.0,0.4269093343283715,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0005360858887035672,0.0,0.0
2026-01-30,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.010608342602351536,1.0608342602351537e-05,0.5451619476373136,0.0,0.45483805236268643,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0005471876085959379,0.0,0.0
2026-02-26,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.008666475716298416,8.666475716298417e-06,0.5262547053729579,0.0,0.4737452946270421,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.00019938915030229265,0.0,0.0
2026-03-25,constant_lambda_no_probability_lambda_34,constant,34.0,True,0.016557262986939256,1.6557262986939257e-05,0.5535310522538343,0.0,0.4464689477461658,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.000917828182753345,0.0,0.0
2024-11-29,oracle_ordered_kappa_0_0,dynamic,37.33404333424533,True,0.008745514055699122,8.745514055699123e-06,0.6,1.0,0.4,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0017468046925959429,0.0,0.0
2024-12-31,oracle_ordered_kappa_0_0,dynamic,37.33404333424533,True,0.02527696201801667,2.5276962018016673e-05,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001573243319415904,0.0,0.0
2025-01-22,oracle_ordered_kappa_0_0,dynamic,37.33404333424533,True,0.0063662629356413675,6.366262935641368e-06,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.001488855409650062,0.0,0.0
2025-02-27,oracle_ordered_kappa_0_0,dynamic,37.33404333424533,True,0.007897254919399951,7.897254919399951e-06,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0007240741821844614,0.0,0.0
2025-03-31,oracle_ordered_kappa_0_0,dynamic,37.33404333424533,True,0.0386038705268916,3.8603870526891596e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0009258127850247569,0.0,0.0
2025-04-30,oracle_ordered_kappa_0_0,dynamic,37.33404333424533,True,0.030186221157354295,3.0186221157354296e-05,0.6,1.0,0.39999999999999997,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0024727357864059206,0.0,0.0
2025-05-29,oracle_ordered_kappa_0_0,dynamic,37.33404333424533,True,0.030193395635373044,3.0193395635373045e-05,0.6,1.0,0.4000000000000001,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0022981731188162434,0.0,0.0
2025-06-30,oracle_ordered_kappa_0_0,dynamic,37.33404333424533,True,0.03236670662421916,3.236670662421916e-05,0.5991211555107471,0.0,0.40087884448925293,2.3019088016967126,0.9123224968904919,0.22629904559915165,True,False,Optimization terminated successfully,-0.0019824586664508466,0.0,0.0
