date,policy_name,lambda_dynamic,is_rebalance,turnover,transaction_cost,cash_weight,at_cash_cap,avg_equity_exposure,expected_class,normalized_entropy,p_bearish,solver_success,fallback_used,message,objective_value,equality_residual,max_bound_violation,aggregation_rule
2025-04-30,AURORA_fold_rule_earliest,37.58784768106197,True,0.030187282562590095,3.0187282562590097e-05,0.6,1.0,0.4,2.2940288117380288,0.9230455750317738,0.2255854152633817,True,False,Optimization terminated successfully,-0.002487014919277789,0.0,0.0,earliest
2025-05-29,AURORA_fold_rule_earliest,36.77893867920397,True,0.03019499109404848,3.0194991094048484e-05,0.6,1.0,0.4,2.3270690330277426,0.8905529948648266,0.22575569037916493,True,False,Optimization terminated successfully,-0.002267452283363477,0.0,0.0,earliest
2025-06-30,AURORA_fold_rule_earliest,36.126218941797376,True,0.03130021386847212,3.130021386847212e-05,0.598586397335024,0.0,0.4014136026649761,2.5428667343164664,0.905353104935796,0.17461956592012345,True,False,Optimization terminated successfully,-0.0019128671053064662,0.0,0.0,earliest
2025-07-31,AURORA_fold_rule_earliest,34.54071663898426,True,0.026199668206526208,2.6199668206526207e-05,0.5966269784699321,0.0,0.40337302153006793,2.649119914220449,0.8715870288719278,0.13755204585930284,True,False,Optimization terminated successfully,-0.0014791159234491303,0.0,0.0,earliest
2025-08-29,AURORA_fold_rule_earliest,37.648333551047045,True,0.02672959984302839,2.6729599843028392e-05,0.6,1.0,0.4000000000000001,2.281037194412071,0.889515797269391,0.2705219309656135,True,False,Optimization terminated successfully,-0.0016056825661732743,0.0,0.0,earliest
2025-09-30,AURORA_fold_rule_earliest,33.50971373027198,True,0.024722510704970738,2.472251070497074e-05,0.5941582484271902,0.0,0.4058417515728098,2.7628946887498427,0.8494350169173879,0.11369191536686425,True,False,Optimization terminated successfully,-0.001383163323127678,0.0,0.0,earliest
2025-10-31,AURORA_fold_rule_earliest,33.43871608970139,True,0.005137092289126413,5.1370922891264135e-06,0.5679537020711668,0.0,0.4320462979288333,2.7502688490043914,0.8502594981575093,0.10911143178818251,True,False,Optimization terminated successfully,-3.973077703033255e-06,0.0,0.0,earliest
2025-11-28,AURORA_fold_rule_earliest,32.21561563108573,True,0.007643410538945919,7.643410538945918e-06,0.5809715889432698,0.0,0.4190284110567303,2.4722544842588743,0.8062618867515285,0.10295342311487621,True,False,Optimization terminated successfully,-0.00026390519433467144,0.0,0.0,earliest
2025-12-31,AURORA_fold_rule_earliest,36.75523711906255,True,0.010919427314268926,1.0919427314268927e-05,0.5744961587938107,0.0,0.4255038412061894,2.3384088226847717,0.8901802068771368,0.22503659735670628,True,False,Optimization terminated successfully,-0.0005972096190149264,0.0,0.0,earliest
2026-01-30,AURORA_fold_rule_earliest,35.80936714203615,True,0.011273662464610354,1.1273662464610355e-05,0.5469253474241642,0.0,0.4530746525758359,2.387896714126177,0.8834486623867929,0.18615752911831637,True,False,Optimization terminated successfully,-0.0005930294319371643,0.0,0.0,earliest
2026-02-26,AURORA_fold_rule_earliest,36.42425592428439,True,0.009636123592888568,9.636123592888569e-06,0.5285159955962391,0.0,0.4714840044037609,2.1686706707460783,0.8777537942868956,0.2240205533555999,True,False,Optimization terminated successfully,-0.00027098985057241395,0.0,0.0,earliest
2026-03-25,AURORA_fold_rule_earliest,36.91115665697671,True,0.01813623447173214,1.813623447173214e-05,0.5565770452938995,0.0,0.4434229547061006,2.628491608877134,0.8987973567946809,0.22206113685548437,True,False,Optimization terminated successfully,-0.001024973435928054,0.0,0.0,earliest
2024-11-29,AURORA_fold_rule_average,35.34400872575344,True,0.008745514055699108,8.745514055699107e-06,0.6,1.0,0.4,2.535952106552051,0.8819183298212091,0.1648025240111609,True,False,Optimization terminated successfully,-0.0016489978447702628,0.0,0.0,average
2024-12-31,AURORA_fold_rule_average,34.397384128832165,True,0.023767510924087243,2.3767510924087243e-05,0.599245089628386,0.0,0.40075491037161415,2.3213246320301986,0.835410515081,0.17560606259035827,True,False,Optimization terminated successfully,-0.0014386079759280263,0.0,0.0,average
2025-01-22,AURORA_fold_rule_average,33.509404876478555,True,0.007879958497549286,7.879958497549285e-06,0.6,1.0,0.40000000000000013,2.3802817514771895,0.8218076475873304,0.14821068433976498,True,False,Optimization terminated successfully,-0.001333352101805903,0.0,0.0,average
2025-02-27,AURORA_fold_rule_average,35.43393956214142,True,0.00789694855435219,7.89694855435219e-06,0.6,1.0,0.4000000000000001,2.4499585428544446,0.860102615686728,0.19656870849866115,True,False,Optimization terminated successfully,-0.0006805044080261822,0.0,0.0,average
2025-03-31,AURORA_fold_rule_average,36.618081682725894,True,0.03860565698524976,3.860565698524976e-05,0.6,1.0,0.4,2.5748220882301545,0.9142061042254156,0.1881464538545251,True,False,Optimization terminated successfully,-0.0009119276008482632,0.0,0.0,average
2025-04-30,AURORA_fold_rule_average,36.91269605227854,True,0.030187078456507976,3.0187078456507977e-05,0.6000000000000001,1.0,0.4,2.3332971989284914,0.9098411452281896,0.20833337107869013,True,False,Optimization terminated successfully,-0.0024494312107894898,0.0,1.1102230246251565e-16,average
2025-05-29,AURORA_fold_rule_average,36.154699367804845,True,0.030194719902621653,3.0194719902621652e-05,0.6,1.0,0.4,2.3140177659119776,0.8815699210589577,0.20577256706654523,True,False,Optimization terminated successfully,-0.0022327316484097416,0.0,0.0,average
2025-06-30,AURORA_fold_rule_average,36.126218941797376,True,0.031300140062676896,3.13001400626769e-05,0.5985865625885685,0.0,0.4014134374114315,2.5428667343164664,0.905353104935796,0.17461956592012345,True,False,Optimization terminated successfully,-0.0019128619996940164,0.0,0.0,average
2025-07-31,AURORA_fold_rule_average,34.819758223642175,True,0.026431425516881407,2.6431425516881406e-05,0.5967431875831736,0.0,0.4032568124168264,2.641592119072613,0.8765742252498541,0.1452701296197912,True,False,Optimization terminated successfully,-0.001494244454508225,0.0,0.0,average
2025-08-29,AURORA_fold_rule_average,38.19018125534296,True,0.02649531161285376,2.6495311612853762e-05,0.6,1.0,0.4,2.2586599125780347,0.8991453810691048,0.2855773364307667,True,False,Optimization terminated successfully,-0.0016344589045526898,0.0,0.0,average
2025-09-30,AURORA_fold_rule_average,34.87172539993599,True,0.025835677154249836,2.5835677154249837e-05,0.5947145804058958,0.0,0.4052854195941043,2.550528989325408,0.8749795098083841,0.1498618827363194,True,False,Optimization terminated successfully,-0.0014561644400131939,0.0,0.0,average
2025-10-31,AURORA_fold_rule_average,35.21839127935832,True,0.005661683006433216,5.661683006433216e-06,0.5687833884388422,0.0,0.4312166115611578,2.4786442003789535,0.8826405354334267,0.1576188946761327,True,False,Optimization terminated successfully,-3.9736883801131204e-05,0.0,0.0,average
2025-11-28,AURORA_fold_rule_average,34.26938066558471,True,0.008328769985322407,8.328769985322407e-06,0.5821394224843585,0.0,0.41786057751564165,2.4386912197999138,0.851324173281,0.1493138166779858,True,False,Optimization terminated successfully,-0.0003086291955355924,0.0,0.0,average
2025-12-31,AURORA_fold_rule_average,36.75523711906255,True,0.010883416077913613,1.0883416077913613e-05,0.5756542263543893,0.0,0.42434577364561077,2.3384088226847717,0.8901802068771368,0.22503659735670628,True,False,Optimization terminated successfully,-0.0005931261913197689,0.0,0.0,average
2026-01-30,AURORA_fold_rule_average,35.80936714203615,True,0.011236387143066975,1.1236387143066976e-05,0.548084727657068,0.0,0.451915272342932,2.387896714126177,0.8834486623867929,0.18615752911831637,True,False,Optimization terminated successfully,-0.0005888163541747825,0.0,0.0,average
2026-02-26,AURORA_fold_rule_average,36.42425592428439,True,0.009597193925645814,9.597193925645814e-06,0.5296644144352582,0.0,0.4703355855647418,2.1686706707460783,0.8777537942868956,0.2240205533555999,True,False,Optimization terminated successfully,-0.0002674108638810536,0.0,0.0,average
2026-03-25,AURORA_fold_rule_average,36.91115665697671,True,0.018080279934845386,1.8080279934845388e-05,0.5576934355760067,0.0,0.4423065644239934,2.6284916088771344,0.8987973567946809,0.22206113685548443,True,False,Optimization terminated successfully,-0.0010184408891321338,0.0,0.0,average
