Date,0050,006208,00692,00881,TAIEX,SP500,NASDAQ,SOXX,USD_TWD,VIX,NIKKEI225,HANGSENG,KOSPI,US10Y
2022-02-25,30.79154396057129,71.43058013916016,29.22079849243164,12.994932174682617,17652.1796875,4384.64990234375,13694.6201171875,153.4862823486328,28.06719970703125,27.59000015258789,26476.5,22767.1796875,2676.760009765625,1.9859999418258667
2022-02-28,,,,,,4373.93994140625,13751.400390625,152.5532989501953,27.962799072265625,30.149999618530273,26526.8203125,22713.01953125,2699.179931640625,1.8389999866485596
2022-03-01,31.22507095336914,72.28041076660156,29.594783782958984,13.22119426727295,17898.25,4306.259765625,13532.4599609375,147.02264404296875,27.97559928894043,33.31999969482422,26844.720703125,22761.7109375,,1.7070000171661377
2022-03-02,31.047216415405273,71.9673080444336,29.43687629699707,13.138232231140137,17867.599609375,4386.5400390625,13752.01953125,151.6974639892578,28.04680061340332,30.739999771118164,26393.029296875,22343.919921875,2703.52001953125,1.8650000095367432
2022-03-03,31.11391258239746,72.05677795410156,29.49505615234375,13.160858154296875,17934.400390625,4363.490234375,13537.9404296875,148.5155029296875,27.970500946044922,30.479999542236328,26577.26953125,22467.33984375,2747.080078125,1.843999981880188
2022-03-04,30.780427932739258,71.29639434814453,29.229106903076172,12.987388610839844,17736.51953125,4328.8701171875,13313.4404296875,144.57424926757812,28.050500869750977,31.979999542236328,25985.470703125,21905.2890625,2713.429931640625,1.7239999771118164
2022-03-07,29.79109764099121,70.17819213867188,28.38140296936035,12.632915496826172,17178.689453125,4201.08984375,12830.9599609375,137.3223876953125,28.125999450683594,36.45000076293945,25221.41015625,21057.630859375,2651.31005859375,1.7510000467300415
2022-03-08,29.157480239868164,67.89707946777344,27.708229064941406,12.233185768127441,16825.25,4170.7001953125,12795.5498046875,139.95419311523438,28.27589988708496,35.130001068115234,24790.94921875,20765.869140625,2622.39990234375,1.871999979019165
2022-03-09,29.457616806030273,68.2549057006836,28.073904037475586,12.384027481079102,17015.359375,4277.8798828125,13255.5498046875,145.81936645507812,28.30340003967285,32.45000076293945,24717.529296875,20627.7109375,,1.9479999542236328
2022-03-10,30.31355094909668,70.2229232788086,28.74707794189453,12.746044158935547,17433.19921875,4259.52001953125,13129.9599609375,142.82723999023438,28.26799964904785,30.229999542236328,25690.400390625,20890.259765625,2680.320068359375,2.010999917984009
2022-03-11,29.880022048950195,69.37309265136719,28.439584732055664,12.580121040344238,17264.740234375,4204.31005859375,12843.8095703125,139.76112365722656,28.30069923400879,30.75,25162.779296875,20553.7890625,2661.280029296875,2.003999948501587
2022-03-14,29.880022048950195,69.14945220947266,28.439584732055664,12.444364547729492,17263.0390625,4173.10986328125,12581.2197265625,135.23753356933594,28.410999298095703,31.770000457763672,25307.849609375,19531.66015625,2645.64990234375,2.140000104904175
2022-03-15,29.268638610839844,67.85234069824219,27.9243106842041,12.150225639343262,16926.060546875,4262.4501953125,12948.6201171875,141.4534454345703,28.51099967956543,29.829999923706055,25346.48046875,18415.080078125,2621.530029296875,2.1600000858306885
2022-03-16,29.390918731689453,68.07598876953125,28.040660858154297,12.180391311645508,16940.830078125,4357.85986328125,13436.5498046875,148.73753356933594,28.51889991760254,26.670000076293945,25762.009765625,20087.5,2659.22998046875,2.187999963760376
2022-03-17,30.32466697692871,70.31238555908203,28.84680938720703,12.655542373657227,17448.220703125,4411.669921875,13614.7802734375,149.6544189453125,28.378999710083008,25.670000076293945,26652.890625,21501.23046875,2694.510009765625,2.191999912261963
2022-03-18,30.257970809936523,70.04401397705078,28.79694938659668,12.617831230163574,17456.51953125,4463.1201171875,13893.83984375,152.57579040527344,28.17799949645996,23.8700008392334,26827.4296875,21412.400390625,2707.02001953125,2.1480000019073486
2022-03-21,30.458059310913086,70.49129486083984,28.904983520507812,12.693251609802246,17560.359375,4461.18017578125,13838.4599609375,152.2733612060547,28.356000900268555,23.530000686645508,,21221.33984375,2686.050048828125,2.315000057220459
2022-03-22,30.41359519958496,70.40184020996094,28.904983520507812,12.670623779296875,17559.7109375,4511.60986328125,14108.8203125,153.11631774902344,28.40999984741211,22.940000534057617,27224.109375,21889.279296875,2710.0,2.372999906539917
