n_days,start_date,end_date,total_return,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,hit_rate,avg_daily_return,avg_turnover,total_turnover,total_transaction_cost,final_equity,run_id,policy_name,policy_type,period,rebalance_frequency,transaction_cost_rate,rank_total_return,rank_sharpe,rank_sortino,rank_drawdown,rank_calmar,allocation_composite_rank
319,2024-11-27,2026-03-25,0.6449120769457068,0.4816511036012676,0.23850602481544175,2.01945046869979,2.62140016067889,-0.26742970077630435,1.8010381876175827,0.5611285266457681,0.0016242963241868567,0.003316808772908786,1.0580619985579027,0.0010580619985579031,1.6189842959062992,20260624_070827,AURORA_P2_purged_wf_low_cash_boost,AURORA_purged_walk_forward,aligned_strict_test_only,monthly,0.001,12.0,12.0,12.0,12.0,12.0,12.0
319,2024-11-27,2026-03-25,0.6116145148184617,0.45790702021340457,0.22923383292150004,1.997554263162421,2.5930279208919242,-0.259025153457895,1.767809087652324,0.5611285266457681,0.0015530714091514016,0.00348930825255911,1.113089332566356,0.001113089332566356,1.5870170148442435,20260624_070827,AURORA_P1_purged_wf_more_60d_30_70,AURORA_purged_walk_forward,aligned_strict_test_only,monthly,0.001,14.0,13.0,13.0,8.0,14.0,12.4
319,2024-11-27,2026-03-25,0.527749407714841,0.3976402793381091,0.1992417704553717,1.9957676466601004,2.575489942393563,-0.22792671899560335,1.7445970401819344,0.5642633228840125,0.0013660255428403093,0.00281214908581209,0.8970755583740567,0.0008970755583740567,1.5074155695231692,20260624_070827,B15_inverse_volatility_63d_20pct_cash,dynamic_financial_baseline,aligned_strict_test_only,monthly,0.001,16.0,14.0,15.0,5.0,15.0,13.0
319,2024-11-27,2026-03-25,0.5232508128425468,0.3943881750736373,0.19830764800691725,1.988769364355935,2.5814977846714666,-0.22608573562003542,1.74441865601134,0.5611285266457681,0.001356967897923491,0.002507836990595611,0.7999999999999999,0.0007999999999999999,1.5034304491249275,20260624_070827,B8_constrained_80_20_cash,passive_benchmark,aligned_strict_test_only,monthly,0.001,17.0,15.0,14.0,4.0,16.0,13.2
319,2024-11-27,2026-03-25,0.38246032400732766,0.2915499440614211,0.14969382672450463,1.9476417327348268,2.5151012082953237,-0.17542220898958205,1.6619899255671533,0.5642633228840125,0.0010287902486178938,0.0018808777429467085,0.6,0.0006,1.3687127096629428,20260624_070827,B7_equal_weight_60_40_cash,passive_benchmark,aligned_strict_test_only,monthly,0.001,21.0,17.0,17.0,3.0,19.0,15.4
319,2024-11-27,2026-03-25,0.6754199095967888,0.5033173684195003,0.2555008744672705,1.9699242496486051,2.549445095055318,-0.2844620810937524,1.7693654158904155,0.5454545454545454,0.0017065831274166929,0.034482758620689655,11.0,0.011,1.6531637592116244,20260624_070827,B9_momentum_top1_63d,dynamic_financial_baseline,aligned_strict_test_only,monthly,0.001,11.0,16.0,16.0,22.0,13.0,15.6
319,2024-11-27,2026-03-25,0.5212370265767701,0.3929317242422541,0.2044006995738164,1.9223599775418205,2.487888159429925,-0.23339976950353747,1.6835137630086594,0.5454545454545454,0.0013652665019333544,0.027586206896551727,8.8,0.0088,1.5050706292020983,20260624_070827,B11_momentum_top1_63d_20pct_cash,dynamic_financial_baseline,aligned_strict_test_only,monthly,0.001,18.0,18.0,18.0,6.0,18.0,15.6
319,2024-11-27,2026-03-25,0.3124161070188427,0.23957504529064155,0.1247448556037538,1.920520442555487,2.4800779344795565,-0.14797168993825105,1.6190600066175955,0.5642633228840125,0.0008573252071815779,0.001567398119122257,0.5,0.0005,1.3015402129182234,20260624_070827,B12_ma_timing_equal_weight,dynamic_financial_baseline,aligned_strict_test_only,monthly,0.001,22.0,19.0,19.0,2.0,20.0,16.4
319,2024-11-27,2026-03-25,0.6078325225757837,0.4552036453902437,0.2389547579539916,1.9049783703318799,2.384872931919525,-0.26542009635902186,1.7150308195748303,0.5830721003134797,0.0015394863175814551,0.003134796238244514,1.0,0.001,1.5755923752612038,20260624_070827,B5_00692_only,passive_benchmark,aligned_strict_test_only,monthly,0.001,15.0,21.0,21.0,10.0,17.0,16.8
319,2024-11-27,2026-03-25,0.30852706777624994,0.23667243490672796,0.1239422800043233,1.9095375274561066,2.4786518664377057,-0.1464899659490122,1.6156221579647645,0.5611285266457681,0.000848104936202182,0.001567398119122257,0.5,0.0005,1.2978855658158486,20260624_070827,B13_ma_timing_constrained,dynamic_financial_baseline,aligned_strict_test_only,monthly,0.001,23.0,20.0,20.0,1.0,21.0,17.0
319,2024-11-27,2026-03-25,0.4771246927638484,0.3609251630170973,0.2296277111189877,1.571784003151407,1.9624357522979328,-0.2652561145639927,1.3606667036134417,0.5611285266457681,0.001282842208891453,0.0070422596450112444,2.246480826758587,0.0022464808267585864,1.4559168545398893,20260624_070827,B19_vol_target_constrained_18pct,dynamic_financial_baseline,aligned_strict_test_only,monthly,0.001,20.0,23.0,22.0,9.0,22.0,19.2
