date,policy_name,gross_return,transaction_cost,net_return,equity,drawdown
2025-05-19,oracle_shuffled_kappa_0_25_seed_2,-0.006152836625831164,0.0,-0.006152836625831164,0.9837668683117822,-0.04125477177949266
2025-05-20,oracle_shuffled_kappa_0_25_seed_2,0.0006725111859538932,0.0,0.0006725111859538932,0.9844284625350925,-0.040610004889034546
2025-05-21,oracle_shuffled_kappa_0_25_seed_2,0.006009298137132205,0.0,0.006009298137132205,0.9903441866611447,-0.03484474437863094
2025-05-22,oracle_shuffled_kappa_0_25_seed_2,-0.004582131491594979,0.0,-0.004582131491594979,0.9858062993759266,-0.03926721266969202
2025-05-23,oracle_shuffled_kappa_0_25_seed_2,-0.001149786811386121,0.0,-0.001149786811386121,0.9846728322943228,-0.04037185055783066
2025-05-26,oracle_shuffled_kappa_0_25_seed_2,-0.0008629578482194796,0.0,-0.0008629578482194796,0.983823101145766,-0.041199969200763964
2025-05-27,oracle_shuffled_kappa_0_25_seed_2,-0.00384696422176823,0.0,-0.00384696422176823,0.9800383688751092,-0.04488843861507885
2025-05-28,oracle_shuffled_kappa_0_25_seed_2,0.0018108641742341103,0.0,0.0018108641742341103,0.9818130852466799,-0.04315886130617019
2025-05-29,oracle_shuffled_kappa_0_25_seed_2,0.0009685590182871047,3.0193626381933627e-05,0.0009383653919051711,0.9827343846671949,-0.04226099469606892
2025-06-02,oracle_shuffled_kappa_0_25_seed_2,-0.008375926845833302,0.0,-0.008375926845833302,0.9745030733523374,-0.0502829465418958
2025-06-03,oracle_shuffled_kappa_0_25_seed_2,0.002669282586696098,0.0,0.002669282586696098,0.9771042974367187,-0.04774788334881175
2025-06-04,oracle_shuffled_kappa_0_25_seed_2,0.009201742139566099,0.0,0.009201742139566099,0.9860953592251932,-0.038985504919531566
2025-06-05,oracle_shuffled_kappa_0_25_seed_2,0.0009406660730219789,0.0,0.0009406660730219789,0.9870229456743808,-0.03808151118832703
2025-06-06,oracle_shuffled_kappa_0_25_seed_2,0.0005894559191992848,0.0,0.0005894559191992848,0.987604752192094,-0.03751450264130973
2025-06-09,oracle_shuffled_kappa_0_25_seed_2,0.0035114216534033395,0.0,0.0035114216534033395,0.9910726489039453,-0.03413481022479781
2025-06-10,oracle_shuffled_kappa_0_25_seed_2,0.01024449613649904,0.0,0.01024449613649904,1.0012256888266318,-0.02424000801976678
2025-06-11,oracle_shuffled_kappa_0_25_seed_2,0.002637405343497888,0.0,0.002637405343497888,1.0038663268083905,-0.021666533402946553
2025-06-12,oracle_shuffled_kappa_0_25_seed_2,-0.0014116516735595192,0.0,-0.0014116516735595192,1.0024492172281214,-0.023047599478367542
2025-06-13,oracle_shuffled_kappa_0_25_seed_2,-0.0032147346165546735,0.0,-0.0032147346165546735,0.9992266090281601,-0.02618824217905058
2025-06-16,oracle_shuffled_kappa_0_25_seed_2,0.00068360798541807,0.0,0.00068360798541807,0.9999096883173338,-0.025522536685110286
2025-06-17,oracle_shuffled_kappa_0_25_seed_2,0.0010605519614371398,0.0,0.0010605519614371398,1.0009701444985386,-0.024489052700015557
2025-06-18,oracle_shuffled_kappa_0_25_seed_2,0.0030726590425267596,0.0,0.0030726590425267596,1.0040457844643313,-0.021491640166710457
2025-06-19,oracle_shuffled_kappa_0_25_seed_2,-0.003979502536307546,0.0,-0.003979502536307546,1.0000501817184866,-0.025385616666465216
2025-06-20,oracle_shuffled_kappa_0_25_seed_2,-0.0008135784486113765,0.0,-0.0008135784486113765,0.9992365624431105,-0.026178541924452015
2025-06-23,oracle_shuffled_kappa_0_25_seed_2,-0.002562443276487077,0.0,-0.002562443276487077,0.9966760754320582,-0.028673904172196507
2025-06-24,oracle_shuffled_kappa_0_25_seed_2,0.0075273931435999785,0.0,0.0075273931435999785,1.0041784480886555,-0.02136235077826265
2025-06-25,oracle_shuffled_kappa_0_25_seed_2,0.005321863002565867,0.0,0.005321863002565867,1.0095225482195125,-0.016154175279951555
2025-06-26,oracle_shuffled_kappa_0_25_seed_2,0.000326312965577553,0.0,0.000326312965577553,1.0098519685160394,-0.015833133631215968
2025-06-27,oracle_shuffled_kappa_0_25_seed_2,0.0006602297458878,0.0,0.0006602297458878,1.010518702824597,-0.015183357391122199
2025-06-30,oracle_shuffled_kappa_0_25_seed_2,0.00021603572242580443,3.1098493308108006e-05,0.00018493722911769642,1.010705585353469,-0.015001228130049116
2025-07-01,oracle_shuffled_kappa_0_25_seed_2,0.002656196217576144,0.0,0.002656196217576144,1.013390217706368,-0.012384878117890907
2025-07-02,oracle_shuffled_kappa_0_25_seed_2,0.0006520852773354858,0.0,0.0006520852773354858,1.0140510345475302,-0.011740868837237683
2025-07-03,oracle_shuffled_kappa_0_25_seed_2,0.004785191994544591,0.0,0.004785191994544591,1.0189034634401066,-0.007011859154262168
2025-07-04,oracle_shuffled_kappa_0_25_seed_2,-0.0030687934072736816,0.0,-0.0030687934072736816,1.0157766592088533,-0.010059134614390453
2025-07-07,oracle_shuffled_kappa_0_25_seed_2,-0.0022970371517267974,0.0,-0.0022970371517267974,1.0134433824847937,-0.012333065560193757
2025-07-08,oracle_shuffled_kappa_0_25_seed_2,-0.0016586145836023165,0.0,-0.0016586145836023165,1.0117624705109491,-0.013971224341397415
2025-07-09,oracle_shuffled_kappa_0_25_seed_2,0.004559948334850515,0.0,0.004559948334850515,1.0163760551036196,-0.009474984067718406
2025-07-10,oracle_shuffled_kappa_0_25_seed_2,0.004453881027361004,0.0,0.004453881027361004,1.0209028731321097,-0.005063303492131133
2025-07-11,oracle_shuffled_kappa_0_25_seed_2,0.0015112806323042452,0.0,0.0015112806323042452,1.022445743871738,-0.0035596749323300036
2025-07-14,oracle_shuffled_kappa_0_25_seed_2,-0.00321728084946329,0.0,-0.00321728084946329,1.0191562487603643,-0.006765503307803233
2025-07-15,oracle_shuffled_kappa_0_25_seed_2,0.005712420788515893,0.0,0.005712420788515893,1.024978098102529,-0.0010917299210274622
2025-07-16,oracle_shuffled_kappa_0_25_seed_2,0.004048873124204963,0.0,0.004048873124204963,1.029128104376835,0.0
2025-07-17,oracle_shuffled_kappa_0_25_seed_2,0.0011130856139805875,0.0,0.0011130856139805875,1.0302736120647598,0.0
2025-07-18,oracle_shuffled_kappa_0_25_seed_2,0.005682178312371994,0.0,0.005682178312371994,1.0361278104390432,0.0
2025-07-21,oracle_shuffled_kappa_0_25_seed_2,-0.0012412922897194973,0.0,-0.0012412922897194973,1.0348416729767813,-0.0012412922897194756
2025-07-22,oracle_shuffled_kappa_0_25_seed_2,-0.0032417787347785174,0.0,-0.0032417787347785174,1.0314869452474626,-0.004479047029549488
2025-07-23,oracle_shuffled_kappa_0_25_seed_2,0.0020408274097063164,0.0,0.0020408274097063164,1.033592032078078,-0.002447360581790292
2025-07-24,oracle_shuffled_kappa_0_25_seed_2,0.0025291915454597096,0.0,0.0025291915454597096,1.0362061843070645,0.0
2025-07-25,oracle_shuffled_kappa_0_25_seed_2,-0.0008595659679510095,0.0,-0.0008595659679510095,1.0353154967352538,-0.0008595659679508927
2025-07-28,oracle_shuffled_kappa_0_25_seed_2,0.0017659438773697418,0.0,0.0017659438773697418,1.0371438057978595,0.0
2025-07-29,oracle_shuffled_kappa_0_25_seed_2,-0.0047870952495670934,0.0,-0.0047870952495670934,1.0321788996120065,-0.004787095249567219
2025-07-30,oracle_shuffled_kappa_0_25_seed_2,0.004247812528858418,0.0,0.004247812528858418,1.0365634020738015,-0.0005596174038868806
2025-07-31,oracle_shuffled_kappa_0_25_seed_2,0.005211669702150889,2.9220117176960797e-05,0.005182449584973928,1.041935339646678,0.0
2025-08-01,oracle_shuffled_kappa_0_25_seed_2,-0.0034101196617314783,0.0,-0.0034101196617314783,1.038382215458696,-0.0034101196617315477
2025-08-04,oracle_shuffled_kappa_0_25_seed_2,-0.002190505609952538,0.0,-0.002190505609952538,1.0361076333904586,-0.005593155385434478
2025-08-05,oracle_shuffled_kappa_0_25_seed_2,0.005716038309788212,0.0,0.005716038309788212,1.0420300643159826,0.0
2025-08-06,oracle_shuffled_kappa_0_25_seed_2,-0.0033871716369199187,0.0,-0.0033871716369199187,1.0385005296373135,-0.003387171636920039
2025-08-07,oracle_shuffled_kappa_0_25_seed_2,0.011621314372526304,0.0,0.011621314372526304,1.050569270768264,0.0
2025-08-08,oracle_shuffled_kappa_0_25_seed_2,0.0001957591225613953,0.0,0.0001957591225613953,1.0507749292868995,0.0
2025-08-11,oracle_shuffled_kappa_0_25_seed_2,0.003288711542875091,0.0,0.003288711542875091,1.054230624925809,0.0
2025-08-12,oracle_shuffled_kappa_0_25_seed_2,0.0002460785587582656,0.0,0.0002460785587582656,1.0544900484785897,0.0
2025-08-13,oracle_shuffled_kappa_0_25_seed_2,0.0033539705027300294,0.0,0.0033539705027300294,1.0580267769966094,0.0
2025-08-14,oracle_shuffled_kappa_0_25_seed_2,-0.0016125855295455217,0.0,-0.0016125855295455217,1.0563206183261529,-0.0016125855295456848
2025-08-15,oracle_shuffled_kappa_0_25_seed_2,0.0010437719467497062,0.0,0.0010437719467497062,1.0574231761543351,-0.0005704967543332939
2025-08-18,oracle_shuffled_kappa_0_25_seed_2,0.0018072435735580939,0.0,0.0018072435735580939,1.0593341973939714,0.0
2025-08-19,oracle_shuffled_kappa_0_25_seed_2,-0.0017474287359044891,0.0,-0.0017474287359044891,1.0574830863765188,-0.0017474287359044993
2025-08-20,oracle_shuffled_kappa_0_25_seed_2,-0.01225996175744103,0.0,-0.01225996175744103,1.044518384178402,-0.013985967083869455
2025-08-21,oracle_shuffled_kappa_0_25_seed_2,0.0032830130148647665,0.0,0.0032830130148647665,1.047947551627925,-0.010748870180966708
2025-08-22,oracle_shuffled_kappa_0_25_seed_2,-0.0020323999327444757,0.0,-0.0020323999327444757,1.0458177030944766,-0.012759424110678319
2025-08-25,oracle_shuffled_kappa_0_25_seed_2,0.008231069101845226,0.0,0.008231069101845226,1.0544259008765804,-0.0046333787103878254
2025-08-26,oracle_shuffled_kappa_0_25_seed_2,0.0003260658659569584,0.0,0.0003260658659569584,1.0547697131710372,-0.004308823631072323
2025-08-27,oracle_shuffled_kappa_0_25_seed_2,0.003141306216564845,0.0,0.003141306216564845,1.0580830678280657,-0.0011810527489658496
2025-08-28,oracle_shuffled_kappa_0_25_seed_2,-0.003755803297766224,0.0,-0.003755803297766224,1.0541091159526064,-0.004932420244922797
2025-08-29,oracle_shuffled_kappa_0_25_seed_2,-0.0004664995896344011,2.3859304092842968e-05,-0.0004903588937272441,1.05359222417264,-0.005420360482515263
2025-09-01,oracle_shuffled_kappa_0_25_seed_2,-0.005125078637476145,0.0,-0.005125078637476145,1.0481924811719219,-0.010517659346275132
2025-09-02,oracle_shuffled_kappa_0_25_seed_2,-0.0001920851227001591,0.0,-0.0001920851227001591,1.0479911389905625,-0.010707724183089296
2025-09-03,oracle_shuffled_kappa_0_25_seed_2,-2.544825692691138e-05,0.0,-2.544825692691138e-05,1.0479644694428003,-0.010732899947100139
2025-09-04,oracle_shuffled_kappa_0_25_seed_2,0.0024613772886193735,0.0,0.0024613772886193735,1.0505439053871668,-0.008297940374651591
2025-09-05,oracle_shuffled_kappa_0_25_seed_2,0.004602573363305888,0.0,0.004602573363305888,1.0553791107830852,-0.0037335588906842743
2025-09-08,oracle_shuffled_kappa_0_25_seed_2,0.0035973741182495174,0.0,0.0035973741182495174,1.0591757042811576,-0.00014961578055694424
2025-09-09,oracle_shuffled_kappa_0_25_seed_2,0.0044531042228035675,0.0,0.0044531042228035675,1.0638923240825828,0.0
2025-09-10,oracle_shuffled_kappa_0_25_seed_2,0.008189016812376179,0.0,0.008189016812376179,1.072604556211053,0.0
2025-09-11,oracle_shuffled_kappa_0_25_seed_2,0.0033552342584825165,0.0,0.0033552342584825165,1.076203395763857,0.0
2025-09-12,oracle_shuffled_kappa_0_25_seed_2,0.0035659333519483722,0.0,0.0035659333519483722,1.0800410653462915,0.0
2025-09-15,oracle_shuffled_kappa_0_25_seed_2,-0.0002490022226203731,0.0,-0.0002490022226203731,1.079772132720499,-0.00024900222262036475
